date,Fund_A,Fund_B,Fund_C,Fund_D,DM_Equity,IG_Credit,HY_Credit,DM_Rates,EQ_Vol
1/31/2021,0.045749005,-0.01426789,0.022189212,0.0089,0.028861994,0.015378583,0.028300282,-0.013708473,-0.056841399
2/28/2021,0.012045228,-0.024759621,-0.015045466,0.0084,0.002192899,-0.00769336,-0.016771069,-0.000174901,-0.031378377
3/31/2021,0.051425839,-0.004066235,-0.007025007,0.0105,0.035202919,0.023353824,-0.012211437,0.009329625,0.035516595
4/30/2021,0.101972315,0.011144941,0.03728547,0.0061,0.071967254,-0.006625487,0.037651987,0.013985231,0.014433677
5/31/2021,0.003141616,0.001930018,-0.00070863,0.005,-0.001834442,0.009858841,-0.002136902,-0.019513613,0.002387959
6/30/2021,-0.001610483,0.029764635,0.014281536,0.0106,-0.001833752,0.029102092,0.021299887,-0.003929335,0.010681456
7/31/2021,0.1048083,0.001471193,0.047613573,0.0077,0.074326938,-0.001453742,0.038129022,-0.010265363,0.053645465
8/31/2021,0.055847457,0.031621763,0.017979406,0.0048,0.040232259,0.000227653,0.014248955,-0.011771539,-0.046575574
9/30/2021,-0.015867758,-0.00660219,-0.017773117,0.0106,-0.011717924,0.003024024,-0.02068522,0.034364073,0.039927116
10/31/2021,0.037097019,-0.011089828,0.00124189,0.0099,0.030787522,3.70E-05,-0.024634924,0.007750295,-0.019907192
11/30/2021,-0.018990536,-0.01385213,-0.016911774,0.006,-0.011463543,-0.016754316,-0.010601937,-0.020122734,-0.006048632
12/31/2021,-0.012898918,-0.010902388,0.023788865,0.01,-0.01156065,0.002666691,0.021941775,0.019099548,0.072972839
1/31/2022,0.033795676,0.008480482,9.41E-05,0.008,0.018162415,-0.007931403,0.014801068,0.039290691,0.046168136
2/28/2022,-0.094968883,0.02045153,-0.066398986,0.0048,-0.07235777,0.001447332,-0.048850801,0.024202263,0.077135798
3/31/2022,-0.077924553,0.036133508,-0.031399389,0.0074,-0.064446549,-0.014477746,-0.011004442,-0.022126332,0.103885021
4/30/2022,-0.024828299,0.021705499,-0.004153631,0.0058,-0.015616076,0.020037605,0.008948112,-0.00593541,0.009725857
5/31/2022,-0.044326165,0.005505479,-0.028441613,0.0103,-0.034538907,-0.00985293,-0.028458108,0.026531346,0.056005796
6/30/2022,0.030549402,0.023951855,0.018504849,0.0059,0.021198388,0.001255101,0.014202644,-0.01179797,-0.023035441
7/31/2022,-0.026000919,0.014178095,-0.012827661,0.0091,-0.030137011,0.009748506,-0.003585885,0.0114956,0.032997935
8/31/2022,-0.080636853,-0.013581153,-0.044042055,0.007,-0.051316756,-0.016902047,-0.039969284,0.018509251,0.013152281
9/30/2022,0.092804881,-0.008719421,0.049565236,0.0088,0.069557248,0.012685244,0.033811859,-0.018162611,-0.015525279
10/31/2022,-0.004090777,0.004177343,0.016355621,0.0079,-0.001482605,0.018537453,0.017574832,0.001002674,0.039228333
11/30/2022,-0.002577539,-0.005374884,0.018247918,0.0079,0.010836185,-0.01520618,0.034327137,-0.056884621,-0.049885906
12/31/2022,-0.076850729,-0.007647827,-0.012288877,0.0108,-0.051839424,3.17E-05,0.014793224,-0.013847006,0.146687035
1/31/2023,-0.026028805,-0.004942627,-0.026888645,0.0078,-0.014864074,0.004632186,-0.034900957,-0.001803023,-0.052158617
2/28/2023,0.020222167,-0.011957523,-0.00062554,0.0048,0.012658749,0.013647749,-0.015648001,-0.021093035,-0.074281879
3/31/2023,-0.057067768,0.027263209,-0.018517438,0.0088,-0.04034173,-0.015877582,0.004773363,0.03340049,0.086606258
4/30/2023,0.044254107,0.007676674,0.023855703,0.0082,0.023779317,-0.010467548,0.023978444,-0.024931511,0.042177001
5/31/2023,-0.016933496,0.014592601,-0.000730775,0.0089,-0.017226825,0.007540616,0.011708145,-0.00505946,0.046476578
6/30/2023,-0.009669113,0.008850413,0.046995503,0.0058,-0.004251138,0.006138702,0.099042946,0.004565887,0.042188629
7/31/2023,-0.03042744,-0.046416865,-0.005420002,0.0092,-0.017271678,0.004278746,0.01309076,0.028806503,0.008310281
8/31/2023,0.125317934,0.008886495,0.07296045,0.006,0.085795684,0.015736947,0.058127846,-0.028135303,-0.080863752
9/30/2023,-0.000097817,0.008579827,0.018224978,0.0064,0.007433117,-0.004416985,0.030079979,0.022565292,0.004946683
10/31/2023,-0.038451493,0.006653041,-0.011194189,0.0087,-0.036423859,0.002144659,0.009357624,0.004005388,-0.024881352
11/30/2023,0.068837455,-0.000100319,0.021235934,0.0092,0.042546886,0.010771558,0.008882335,-0.0177945,0.046615774
12/31/2023,-0.0659548,0.006806019,-0.021135065,0.0108,-0.043275433,-0.00989976,0.009991601,0.012481634,0.009322959
1/31/2024,0.014949216,-0.008220428,0.004223957,0.0107,0.016772271,0.027066521,-0.010288949,0.004744461,-0.052400127
2/29/2024,-0.09496319,-0.023664679,-0.048036379,0.0122,-0.074306145,0.001255381,-0.024212309,-0.005088597,0.009724
3/31/2024,-0.070710222,0.011572993,-0.042736105,0.0096,-0.047783814,-0.016074023,-0.022469233,0.005645628,0.044500222
4/30/2024,0.032715974,-0.010800064,0.016103103,0.0107,0.016268172,0.012505461,0.010927305,-0.005749053,-0.036517333
5/31/2024,0.042141648,-0.017953357,0.053946533,0.0118,0.039015596,-0.00479462,0.073571143,0.002092532,-0.059988683
6/30/2024,0.018575544,-0.002922244,0.006416852,0.0046,0.015197468,0.013964762,-0.03812239,0.013158479,0.012302119
7/31/2024,0.006419201,0.014308796,0.004138644,0.009,0.003142772,0.017217424,0.022099336,0.030391164,0.016598024
8/31/2024,-0.007872957,-0.02771575,-0.019018166,0.0049,-0.004646355,-0.007312823,-0.037711803,-0.020048361,-0.025790366
9/30/2024,-0.078114943,-0.019499782,-0.049716801,0.0104,-0.054097924,0.009150721,-0.024027674,0.043099497,-0.006328025
10/31/2024,-0.026507386,0.007833065,-0.017636676,0.0081,-0.022233457,0.005730025,0.024553728,-0.032025908,0.024704706
11/30/2024,-0.022199397,-0.017749105,0.003633984,0.008,-0.011346828,0.011730039,0.002202952,-0.00016479,-0.079913671
12/31/2024,0.076412345,-0.017998905,0.029180118,0.0072,0.052399134,0.031001429,-0.007223879,0.009969753,-0.099787523
1/31/2025,0.031991606,0.009086792,0.010387173,0.006,0.022431968,0.002298539,-0.007153002,0.005936255,-0.047957842
2/28/2025,-0.09136313,0.004239262,-0.041246039,0.0104,-0.066047687,-0.012649603,0.001175638,-0.005906207,0.013309861
3/31/2025,0.033810489,-0.009844194,0.004843782,0.0102,0.021611527,-0.005513021,-0.007775708,-0.002826777,0.01409042
4/30/2025,-0.021056393,0.056873199,0.000122071,0.0085,-0.008173456,-0.007607069,0.006959428,-0.006465344,0.094382083
5/31/2025,-0.039937057,0.012993868,-0.024504234,0.0048,-0.020430724,3.17E-05,-0.000989921,-0.007587029,0.061610331
6/30/2025,0.057079733,0.022584703,0.034982332,0.0081,0.033690404,0.010462864,-0.002182888,0.015608318,-0.018387953
7/31/2025,0.075266543,-0.041444991,0.04251365,0.0055,0.05130198,0.011450488,0.072989196,0.00586118,-0.016096666
8/31/2025,0.062765502,-0.018966572,0.035023043,0.0056,0.047113765,0.017637576,0.033982105,-0.012828061,-0.07364158
9/30/2025,-0.02782323,-0.000157303,-0.033963187,0.0056,-0.027247136,0.000431309,-0.054802706,0.019555155,0.011425709
10/31/2025,-0.003780408,-0.003235521,0.002909385,0.0091,-0.00498692,0.019943717,0.007165282,0.007780737,-0.012574096
11/30/2025,0.038635684,0.033555907,0.019037218,0.0103,0.021913064,0.002015424,-0.005970742,0.015535865,0.014693541
12/31/2025,0.074515581,-0.003168103,0.046561586,0.005,0.048972895,0.04053932,0.040002702,0.010884674,-0.06377437
